id,b_1,b_2,m,v_1,v_2,t
     0.000,     7.751,     6.614,    10.000,     0.000,     0.000,     0.000
     1.000,     3.930,     1.291,    10.000,     0.000,     0.000,     0.000
     2.000,     5.752,     3.588,    10.000,     0.000,     0.000,     0.000
     0.000,     7.751,     6.614,    10.000,    -0.000,    -0.001,     0.100
     1.000,     3.930,     1.291,    10.000,     0.002,     0.003,     0.100
     2.000,     5.752,     3.588,    10.000,    -0.002,    -0.002,     0.100
     0.000,     7.751,     6.613,    10.000,    -0.001,    -0.001,     0.200
     1.000,     3.930,     1.292,    10.000,     0.004,     0.005,     0.200
     2.000,     5.752,     3.587,    10.000,    -0.003,    -0.004,     0.200
     0.000,     7.750,     6.613,    10.000,    -0.001,    -0.002,     0.300
     1.000,     3.931,     1.292,    10.000,     0.006,     0.008,     0.300
     2.000,     5.752,     3.587,    10.000,    -0.005,    -0.006,     0.300
     0.000,     7.750,     6.613,    10.000,    -0.002,    -0.002,     0.400
     1.000,     3.932,     1.293,    10.000,     0.008,     0.010,     0.400
     2.000,     5.751,     3.586,    10.000,    -0.006,    -0.008,     0.400
     0.000,     7.750,     6.613,    10.000,    -0.002,    -0.003,     0.500
     1.000,     3.933,     1.295,    10.000,     0.010,     0.013,     0.500
     2.000,     5.750,     3.585,    10.000,    -0.008,    -0.010,     0.500
     0.000,     7.750,     6.612,    10.000,    -0.002,    -0.004,     0.600
     1.000,     3.934,     1.296,    10.000,     0.012,     0.015,     0.600
     2.000,     5.749,     3.584,    10.000,    -0.010,    -0.012,     0.600
     0.000,     7.750,     6.612,    10.000,    -0.003,    -0.004,     0.700
     1.000,     3.935,     1.298,    10.000,     0.014,     0.018,     0.700
     2.000,     5.748,     3.582,    10.000,    -0.011,    -0.014,     0.700
     0.000,     7.749,     6.611,    10.000,    -0.003,    -0.005,     0.800
     1.000,     3.937,     1.300,    10.000,     0.016,     0.020,     0.800
     2.000,     5.747,     3.581,    10.000,    -0.013,    -0.016,     0.800
     0.000,     7.749,     6.611,    10.000,    -0.004,    -0.006,     0.900
     1.000,     3.939,     1.302,    10.000,     0.018,     0.023,     0.900
     2.000,     5.745,     3.579,    10.000,    -0.015,    -0.018,     0.900
     0.000,     7.748,     6.610,    10.000,    -0.004,    -0.006,     1.000
     1.000,     3.941,     1.305,    10.000,     0.020,     0.026,     1.000
     2.000,     5.744,     3.577,    10.000,    -0.016,    -0.020,     1.000
     0.000,     7.748,     6.610,    10.000,    -0.004,    -0.007,     1.100
     1.000,     3.943,     1.308,    10.000,     0.023,     0.029,     1.100
     2.000,     5.742,     3.575,    10.000,    -0.018,    -0.022,     1.100
     0.000,     7.748,     6.609,    10.000,    -0.005,    -0.007,     1.200
     1.000,     3.946,     1.311,    10.000,     0.025,     0.031,     1.200
     2.000,     5.740,     3.572,    10.000,    -0.020,    -0.024,     1.200
     0.000,     7.747,     6.608,    10.000,    -0.005,    -0.008,     1.300
     1.000,     3.948,     1.314,    10.000,     0.027,     0.034,     1.300
     2.000,     5.738,     3.570,    10.000,    -0.022,    -0.026,     1.300
     0.000,     7.746,     6.607,    10.000,    -0.006,    -0.009,     1.400
     1.000,     3.951,     1.318,    10.000,     0.029,     0.037,     1.400
     2.000,     5.735,     3.567,    10.000,    -0.024,    -0.028,     1.400
     0.000,     7.746,     6.606,    10.000,    -0.006,    -0.009,     1.500
     1.000,     3.955,     1.322,    10.000,     0.032,     0.040,     1.500
     2.000,     5.733,     3.564,    10.000,    -0.026,    -0.031,     1.500
     0.000,     7.745,     6.605,    10.000,    -0.006,    -0.010,     1.600
     1.000,     3.958,     1.326,    10.000,     0.034,     0.043,     1.600
     2.000,     5.730,     3.561,    10.000,    -0.028,    -0.033,     1.600
     0.000,     7.745,     6.604,    10.000,    -0.007,    -0.010,     1.700
     1.000,     3.962,     1.331,    10.000,     0.036,     0.046,     1.700
     2.000,     5.727,     3.557,    10.000,    -0.030,    -0.036,     1.700
     0.000,     7.744,     6.603,    10.000,    -0.007,    -0.011,     1.800
     1.000,     3.965,     1.336,    10.000,     0.039,     0.049,     1.800
     2.000,     5.724,     3.553,    10.000,    -0.032,    -0.038,     1.800
     0.000,     7.743,     6.602,    10.000,    -0.008,    -0.011,     1.900
     1.000,     3.970,     1.341,    10.000,     0.042,     0.052,     1.900
     2.000,     5.720,     3.549,    10.000,    -0.034,    -0.041,     1.900
     0.000,     7.742,     6.601,    10.000,    -0.008,    -0.012,     2.000
     1.000,     3.974,     1.347,    10.000,     0.044,     0.056,     2.000
     2.000,     5.717,     3.545,    10.000,    -0.036,    -0.044,     2.000
     0.000,     7.741,     6.600,    10.000,    -0.008,    -0.013,     2.100
     1.000,     3.979,     1.352,    10.000,     0.047,     0.059,     2.100
     2.000,     5.713,     3.540,    10.000,    -0.039,    -0.046,     2.100
     0.000,     7.741,     6.598,    10.000,    -0.009,    -0.013,     2.200
     1.000,     3.984,     1.359,    10.000,     0.050,     0.063,     2.200
     2.000,     5.709,     3.535,    10.000,    -0.041,    -0.049,     2.200
     0.000,     7.740,     6.597,    10.000,    -0.009,    -0.014,     2.300
     1.000,     3.989,     1.365,    10.000,     0.053,     0.066,     2.300
     2.000,     5.704,     3.530,    10.000,    -0.043,    -0.053,     2.300
     0.000,     7.739,     6.595,    10.000,    -0.009,    -0.014,     2.400
     1.000,     3.995,     1.372,    10.000,     0.056,     0.070,     2.400
     2.000,     5.700,     3.524,    10.000,    -0.046,    -0.056,     2.400
     0.000,     7.738,     6.594,    10.000,    -0.010,    -0.015,     2.500
     1.000,     4.000,     1.380,    10.000,     0.059,     0.074,     2.500
     2.000,     5.695,     3.518,    10.000,    -0.049,    -0.059,     2.500
     0.000,     7.737,     6.592,    10.000,    -0.010,    -0.015,     2.600
     1.000,     4.007,     1.388,    10.000,     0.062,     0.078,     2.600
     2.000,     5.690,     3.512,    10.000,    -0.052,    -0.063,     2.600
     0.000,     7.736,     6.591,    10.000,    -0.011,    -0.016,     2.700
     1.000,     4.013,     1.396,    10.000,     0.066,     0.083,     2.700
     2.000,     5.684,     3.505,    10.000,    -0.055,    -0.067,     2.700
     0.000,     7.735,     6.589,    10.000,    -0.011,    -0.016,     2.800
     1.000,     4.020,     1.405,    10.000,     0.069,     0.087,     2.800
     2.000,     5.678,     3.498,    10.000,    -0.058,    -0.071,     2.800
     0.000,     7.733,     6.587,    10.000,    -0.011,    -0.017,     2.900
     1.000,     4.027,     1.414,    10.000,     0.073,     0.092,     2.900
     2.000,     5.672,     3.491,    10.000,    -0.062,    -0.075,     2.900
     0.000,     7.732,     6.586,    10.000,    -0.012,    -0.018,     3.000
     1.000,     4.035,     1.424,    10.000,     0.077,     0.097,     3.000
     2.000,     5.666,     3.483,    10.000,    -0.065,    -0.080,     3.000
     0.000,     7.731,     6.584,    10.000,    -0.012,    -0.018,     3.100
     1.000,     4.043,     1.434,    10.000,     0.081,     0.103,     3.100
     2.000,     5.659,     3.474,    10.000,    -0.069,    -0.085,     3.100
     0.000,     7.730,     6.582,    10.000,    -0.012,    -0.019,     3.200
     1.000,     4.052,     1.445,    10.000,     0.086,     0.108,     3.200
     2.000,     5.651,     3.465,    10.000,    -0.074,    -0.090,     3.200
     0.000,     7.729,     6.580,    10.000,    -0.013,    -0.019,     3.300
     1.000,     4.061,     1.456,    10.000,     0.091,     0.115,     3.300
     2.000,     5.644,     3.456,    10.000,    -0.078,    -0.096,     3.300
     0.000,     7.727,     6.578,    10.000,    -0.013,    -0.020,     3.400
     1.000,     4.071,     1.468,    10.000,     0.096,     0.121,     3.400
     2.000,     5.635,     3.446,    10.000,    -0.083,    -0.102,     3.400
     0.000,     7.726,     6.576,    10.000,    -0.013,    -0.020,     3.500
     1.000,     4.081,     1.481,    10.000,     0.102,     0.129,     3.500
     2.000,     5.626,     3.435,    10.000,    -0.089,    -0.109,     3.500
     0.000,     7.725,     6.574,    10.000,    -0.014,    -0.020,     3.600
     1.000,     4.092,     1.495,    10.000,     0.108,     0.136,     3.600
     2.000,     5.617,     3.423,    10.000,    -0.094,    -0.116,     3.600
     0.000,     7.723,     6.572,    10.000,    -0.014,    -0.021,     3.700
     1.000,     4.103,     1.509,    10.000,     0.115,     0.145,     3.700
     2.000,     5.607,     3.411,    10.000,    -0.101,    -0.124,     3.700
     0.000,     7.722,     6.570,    10.000,    -0.014,    -0.021,     3.800
     1.000,     4.115,     1.525,    10.000,     0.122,     0.154,     3.800
     2.000,     5.596,     3.398,    10.000,    -0.108,    -0.133,     3.800
