id,b_1,b_2,m,v_1,v_2,t
     0.000,     5.018,     3.845,    10.000,     0.000,     0.000,     0.000
     1.000,     5.314,     0.450,    10.000,     0.000,     0.000,     0.000
     2.000,     7.867,     6.097,    10.000,     0.000,     0.000,     0.000
     0.000,     5.018,     3.845,    10.000,     0.001,    -0.001,     0.100
     1.000,     5.314,     0.451,    10.000,    -0.000,     0.001,     0.100
     2.000,     7.867,     6.097,    10.000,    -0.001,    -0.000,     0.100
     0.000,     5.018,     3.844,    10.000,     0.001,    -0.001,     0.200
     1.000,     5.314,     0.451,    10.000,    -0.000,     0.002,     0.200
     2.000,     7.866,     6.097,    10.000,    -0.001,    -0.001,     0.200
     0.000,     5.018,     3.844,    10.000,     0.002,    -0.002,     0.300
     1.000,     5.314,     0.451,    10.000,    -0.000,     0.003,     0.300
     2.000,     7.866,     6.097,    10.000,    -0.002,    -0.001,     0.300
     0.000,     5.019,     3.844,    10.000,     0.003,    -0.003,     0.400
     1.000,     5.314,     0.452,    10.000,    -0.000,     0.005,     0.400
     2.000,     7.866,     6.097,    10.000,    -0.002,    -0.002,     0.400
     0.000,     5.019,     3.844,    10.000,     0.003,    -0.003,     0.500
     1.000,     5.314,     0.452,    10.000,    -0.000,     0.006,     0.500
     2.000,     7.866,     6.096,    10.000,    -0.003,    -0.002,     0.500
     0.000,     5.019,     3.843,    10.000,     0.004,    -0.004,     0.600
     1.000,     5.314,     0.453,    10.000,    -0.001,     0.007,     0.600
     2.000,     7.865,     6.096,    10.000,    -0.003,    -0.003,     0.600
     0.000,     5.020,     3.843,    10.000,     0.005,    -0.005,     0.700
     1.000,     5.314,     0.454,    10.000,    -0.001,     0.008,     0.700
     2.000,     7.865,     6.096,    10.000,    -0.004,    -0.003,     0.700
     0.000,     5.020,     3.842,    10.000,     0.005,    -0.005,     0.800
     1.000,     5.313,     0.455,    10.000,    -0.001,     0.009,     0.800
     2.000,     7.865,     6.095,    10.000,    -0.005,    -0.004,     0.800
     0.000,     5.021,     3.842,    10.000,     0.006,    -0.006,     0.900
     1.000,     5.313,     0.456,    10.000,    -0.001,     0.010,     0.900
     2.000,     7.864,     6.095,    10.000,    -0.005,    -0.004,     0.900
     0.000,     5.022,     3.841,    10.000,     0.007,    -0.007,     1.000
     1.000,     5.313,     0.457,    10.000,    -0.001,     0.011,     1.000
     2.000,     7.864,     6.094,    10.000,    -0.006,    -0.005,     1.000
     0.000,     5.022,     3.840,    10.000,     0.007,    -0.007,     1.100
     1.000,     5.313,     0.458,    10.000,    -0.001,     0.013,     1.100
     2.000,     7.863,     6.094,    10.000,    -0.006,    -0.005,     1.100
     0.000,     5.023,     3.839,    10.000,     0.008,    -0.008,     1.200
     1.000,     5.313,     0.459,    10.000,    -0.001,     0.014,     1.200
     2.000,     7.862,     6.093,    10.000,    -0.007,    -0.006,     1.200
     0.000,     5.024,     3.838,    10.000,     0.009,    -0.009,     1.300
     1.000,     5.313,     0.461,    10.000,    -0.001,     0.015,     1.300
     2.000,     7.861,     6.093,    10.000,    -0.007,    -0.006,     1.300
     0.000,     5.025,     3.837,    10.000,     0.009,    -0.010,     1.400
     1.000,     5.313,     0.462,    10.000,    -0.001,     0.016,     1.400
