id,b_1,b_2,m,v_1,v_2,t
     0.000,     7.028,     6.964,    10.000,     0.000,     0.000,     0.000
     1.000,     5.124,     4.738,    10.000,     0.000,     0.000,     0.000
     2.000,     8.946,     2.409,    10.000,     0.000,     0.000,     0.000
     0.000,     7.028,     6.964,    10.000,    -0.002,    -0.003,     0.100
     1.000,     5.124,     4.738,    10.000,     0.002,     0.002,     0.100
     2.000,     8.946,     2.409,    10.000,    -0.000,     0.000,     0.100
     0.000,     7.027,     6.963,    10.000,    -0.004,    -0.005,     0.200
     1.000,     5.124,     4.739,    10.000,     0.004,     0.005,     0.200
     2.000,     8.946,     2.409,    10.000,    -0.000,     0.000,     0.200
     0.000,     7.027,     6.962,    10.000,    -0.006,    -0.008,     0.300
     1.000,     5.125,     4.740,    10.000,     0.007,     0.007,     0.300
     2.000,     8.946,     2.409,    10.000,    -0.001,     0.000,     0.300
     0.000,     7.026,     6.961,    10.000,    -0.008,    -0.010,     0.400
     1.000,     5.126,     4.741,    10.000,     0.009,     0.010,     0.400
     2.000,     8.946,     2.409,    10.000,    -0.001,     0.001,     0.400
     0.000,     7.025,     6.960,    10.000,    -0.010,    -0.013,     0.500
     1.000,     5.127,     4.742,    10.000,     0.011,     0.012,     0.500
     2.000,     8.946,     2.409,    10.000,    -0.001,     0.001,     0.500
     0.000,     7.024,     6.958,    10.000,    -0.013,    -0.015,     0.600
     1.000,     5.128,     4.743,    10.000,     0.014,     0.014,     0.600
     2.000,     8.945,     2.409,    10.000,    -0.001,     0.001,     0.600
     0.000,     7.022,     6.957,    10.000,    -0.015,    -0.018,     0.700
     1.000,     5.130,     4.745,    10.000,     0.016,     0.017,     0.700
     2.000,     8.945,     2.410,    10.000,    -0.001,     0.001,     0.700
     0.000,     7.021,     6.955,    10.000,    -0.017,    -0.021,     0.800
     1.000,     5.132,     4.747,    10.000,     0.018,     0.019,     0.800
     2.000,     8.945,     2.410,    10.000,    -0.001,     0.001,     0.800
     0.000,     7.019,     6.952,    10.000,    -0.019,    -0.023,     0.900
     1.000,     5.134,     4.749,    10.000,     0.021,     0.022,     0.900
     2.000,     8.945,     2.410,    10.000,    -0.002,     0.001,     0.900
