id,b_1,b_2,m,v_1,v_2,t
     0.000,   643.463,    89.289,    10.000,     0.630,     0.342,     0.010
     1.000,   341.026,   552.039,    10.000,     0.199,     0.944,     0.010
     2.000,   320.385,   572.841,    10.000,     0.876,     0.328,     0.010
     3.000,   243.422,   246.808,    10.000,     0.193,     0.832,     0.010
     4.000,   559.504,   664.948,    10.000,     0.311,     0.749,     0.010
     5.000,   172.016,   165.723,    10.000,     0.411,     0.955,     0.010
     6.000,   724.886,   224.585,    10.000,     0.585,     0.022,     0.010
     7.000,   541.626,   302.745,    10.000,     0.537,     0.502,     0.010
     8.000,   267.574,   708.435,    10.000,     0.693,     0.701,     0.010
     9.000,   409.083,   403.566,    10.000,     0.352,     0.063,     0.010
    10.000,   571.605,   512.575,    10.000,     0.353,     0.847,     0.010
    11.000,   430.149,   352.634,    10.000,     0.059,     0.608,     0.010
    12.000,   631.005,   595.170,    10.000,     0.774,     0.147,     0.010
    13.000,   424.726,   118.867,    10.000,     0.260,     0.145,     0.010
    14.000,   379.459,   451.492,    10.000,     0.744,     0.365,     0.010
    15.000,   244.648,   142.351,    10.000,     0.457,     0.738,     0.010
    16.000,   509.791,   479.513,    10.000,     0.804,     0.728,     0.010
    17.000,   176.172,   188.435,    10.000,     0.492,     0.333,     0.010
    18.000,   318.796,   644.026,    10.000,     0.234,     0.958,     0.010
    19.000,   419.860,   776.640,    10.000,     0.159,     0.654,     0.010
     0.000,   643.469,    89.293,    10.000,     0.629,     0.342,     0.020
     1.000,   341.028,   552.048,    10.000,     0.199,     0.944,     0.020
     2.000,   320.394,   572.844,    10.000,     0.876,     0.327,     0.020
     3.000,   243.424,   246.816,    10.000,     0.193,     0.832,     0.020
     4.000,   559.507,   664.955,    10.000,     0.310,     0.748,     0.020
     5.000,   172.020,   165.732,    10.000,     0.409,     0.947,     0.020
     6.000,   724.892,   224.585,    10.000,     0.584,     0.022,     0.020
     7.000,   541.631,   302.750,    10.000,     0.536,     0.502,     0.020
     8.000,   267.581,   708.442,    10.000,     0.693,     0.700,     0.020
     9.000,   409.086,   403.567,    10.000,     0.351,     0.063,     0.020
    10.000,   571.608,   512.584,    10.000,     0.352,     0.846,     0.020
    11.000,   430.149,   352.640,    10.000,     0.059,     0.608,     0.020
    12.000,   631.013,   595.171,    10.000,     0.774,     0.147,     0.020
    13.000,   424.729,   118.868,    10.000,     0.259,     0.145,     0.020
    14.000,   379.466,   451.495,    10.000,     0.744,     0.364,     0.020
    15.000,   244.653,   142.359,    10.000,     0.457,     0.738,     0.020
    16.000,   509.799,   479.520,    10.000,     0.803,     0.728,     0.020
    17.000,   176.177,   188.438,    10.000,     0.493,     0.340,     0.020
    18.000,   318.798,   644.036,    10.000,     0.234,     0.957,     0.020
    19.000,   419.861,   776.647,    10.000,     0.159,     0.654,     0.020
     0.000,   643.475,    89.296,    10.000,     0.628,     0.342,     0.030
     1.000,   341.030,   552.058,    10.000,     0.198,     0.943,     0.030
     2.000,   320.403,   572.848,    10.000,     0.876,     0.327,     0.030
     3.000,   243.425,   246.824,    10.000,     0.192,     0.831,     0.030
     4.000,   559.510,   664.963,    10.000,     0.310,     0.747,     0.030
     5.000,   172.024,   165.741,    10.000,     0.408,     0.940,     0.030
     6.000,   724.898,   224.585,    10.000,     0.584,     0.022,     0.030
     7.000,   541.636,   302.755,    10.000,     0.536,     0.502,     0.030
     8.000,   267.588,   708.449,    10.000,     0.693,     0.700,     0.030
     9.000,   409.090,   403.567,    10.000,     0.351,     0.062,     0.030
    10.000,   571.612,   512.592,    10.000,     0.352,     0.846,     0.030
    11.000,   430.150,   352.647,    10.000,     0.059,     0.607,     0.030
    12.000,   631.021,   595.173,    10.000,     0.773,     0.146,     0.030
    13.000,   424.731,   118.870,    10.000,     0.259,     0.145,     0.030
    14.000,   379.474,   451.499,    10.000,     0.743,     0.364,     0.030
    15.000,   244.657,   142.366,    10.000,     0.456,     0.738,     0.030
    16.000,   509.807,   479.528,    10.000,     0.803,     0.727,     0.030
    17.000,   176.182,   188.442,    10.000,     0.494,     0.347,     0.030
    18.000,   318.801,   644.045,    10.000,     0.234,     0.957,     0.030
    19.000,   419.863,   776.653,    10.000,     0.158,     0.653,     0.030
     0.000,   643.482,    89.300,    10.000,     0.628,     0.342,     0.040
     1.000,   341.032,   552.067,    10.000,     0.198,     0.943,     0.040
     2.000,   320.411,   572.851,    10.000,     0.876,     0.326,     0.040
     3.000,   243.427,   246.833,    10.000,     0.192,     0.831,     0.040
     4.000,   559.514,   664.970,    10.000,     0.309,     0.747,     0.040
     5.000,   172.028,   165.751,    10.000,     0.406,     0.932,     0.040
     6.000,   724.904,   224.586,    10.000,     0.583,     0.021,     0.040
     7.000,   541.642,   302.760,    10.000,     0.535,     0.501,     0.040
     8.000,   267.595,   708.456,    10.000,     0.692,     0.699,     0.040
     9.000,   409.093,   403.568,    10.000,     0.350,     0.062,     0.040
    10.000,   571.615,   512.601,    10.000,     0.351,     0.845,     0.040
    11.000,   430.151,   352.653,    10.000,     0.058,     0.607,     0.040
    12.000,   631.029,   595.174,    10.000,     0.773,     0.146,     0.040
    13.000,   424.734,   118.871,    10.000,     0.258,     0.145,     0.040
    14.000,   379.481,   451.503,    10.000,     0.743,     0.363,     0.040
    15.000,   244.662,   142.374,    10.000,     0.456,     0.738,     0.040
    16.000,   509.815,   479.535,    10.000,     0.802,     0.727,     0.040
    17.000,   176.187,   188.445,    10.000,     0.495,     0.355,     0.040
    18.000,   318.803,   644.055,    10.000,     0.233,     0.956,     0.040
    19.000,   419.865,   776.660,    10.000,     0.158,     0.652,     0.040
     0.000,   643.488,    89.303,    10.000,     0.627,     0.342,     0.050
     1.000,   341.034,   552.076,    10.000,     0.198,     0.942,     0.050
     2.000,   320.420,   572.854,    10.000,     0.875,     0.325,     0.050
     3.000,   243.429,   246.841,    10.000,     0.192,     0.831,     0.050
     4.000,   559.517,   664.978,    10.000,     0.309,     0.746,     0.050
     5.000,   172.032,   165.760,    10.000,     0.405,     0.925,     0.050
     6.000,   724.910,   224.586,    10.000,     0.582,     0.021,     0.050
     7.000,   541.647,   302.765,    10.000,     0.535,     0.501,     0.050
     8.000,   267.601,   708.463,    10.000,     0.692,     0.698,     0.050
     9.000,   409.097,   403.568,    10.000,     0.350,     0.062,     0.050
    10.000,   571.619,   512.609,    10.000,     0.350,     0.845,     0.050
    11.000,   430.151,   352.659,    10.000,     0.058,     0.607,     0.050
    12.000,   631.036,   595.176,    10.000,     0.772,     0.145,     0.050
    13.000,   424.736,   118.873,    10.000,     0.258,     0.145,     0.050
