id,b_1,b_2,m,v_1,v_2,t
     0.000,   338.545,   254.057,    10.000,     0.161,     0.784,     0.010
     1.000,   530.137,   276.568,    10.000,     0.791,     0.066,     0.010
     2.000,   622.555,   157.624,    10.000,     0.625,     0.782,     0.010
     3.000,   394.195,   401.245,    10.000,     0.319,     0.004,     0.010
     4.000,   324.501,   104.675,    10.000,     0.045,     0.129,     0.010
     5.000,   275.470,   358.649,    10.000,     0.142,     0.085,     0.010
     6.000,   214.966,   597.610,    10.000,     0.326,     0.355,     0.010
     7.000,   599.334,   638.930,    10.000,     0.006,     0.336,     0.010
     8.000,   434.792,   178.137,    10.000,     0.729,     0.098,     0.010
     9.000,   479.937,   539.188,    10.000,     0.589,     0.632,     0.010
    10.000,   384.758,   480.934,    10.000,     0.778,     0.179,     0.010
    11.000,   379.878,   442.457,    10.000,     0.955,     0.231,     0.010
    12.000,   323.848,   502.004,    10.000,     0.016,     0.354,     0.010
    13.000,   735.823,   311.588,    10.000,     0.540,     0.845,     0.010
    14.000,   406.403,   131.124,    10.000,     0.528,     0.377,     0.010
    15.000,   744.782,   337.046,    10.000,     0.962,     0.096,     0.010
    16.000,   400.272,   725.665,    10.000,     0.382,     0.608,     0.010
    17.000,   232.087,   226.457,    10.000,     0.255,     0.375,     0.010
    18.000,   533.323,   750.096,    10.000,     0.648,     0.536,     0.010
    19.000,   209.954,   668.151,    10.000,     0.039,     0.199,     0.010
     0.000,   338.547,   254.065,    10.000,     0.161,     0.784,     0.020
     1.000,   530.145,   276.569,    10.000,     0.791,     0.066,     0.020
     2.000,   622.561,   157.632,    10.000,     0.625,     0.782,     0.020
     3.000,   394.198,   401.245,    10.000,     0.319,     0.004,     0.020
     4.000,   324.501,   104.676,    10.000,     0.045,     0.129,     0.020
     5.000,   275.471,   358.650,    10.000,     0.142,     0.085,     0.020
     6.000,   214.970,   597.613,    10.000,     0.325,     0.354,     0.020
     7.000,   599.334,   638.933,    10.000,     0.006,     0.336,     0.020
     8.000,   434.800,   178.138,    10.000,     0.728,     0.098,     0.020
     9.000,   479.943,   539.194,    10.000,     0.589,     0.632,     0.020
    10.000,   384.766,   480.936,    10.000,     0.778,     0.178,     0.020
    11.000,   379.888,   442.459,    10.000,     0.955,     0.231,     0.020
    12.000,   323.848,   502.007,    10.000,     0.016,     0.354,     0.020
    13.000,   735.828,   311.596,    10.000,     0.539,     0.844,     0.020
    14.000,   406.408,   131.128,    10.000,     0.528,     0.377,     0.020
    15.000,   744.792,   337.047,    10.000,     0.961,     0.096,     0.020
    16.000,   400.276,   725.671,    10.000,     0.382,     0.607,     0.020
    17.000,   232.090,   226.461,    10.000,     0.255,     0.375,     0.020
    18.000,   533.329,   750.101,    10.000,     0.647,     0.535,     0.020
    19.000,   209.954,   668.153,    10.000,     0.038,     0.198,     0.020
     0.000,   338.548,   254.073,    10.000,     0.160,     0.783,     0.030
     1.000,   530.152,   276.570,    10.000,     0.790,     0.065,     0.030
     2.000,   622.567,   157.640,    10.000,     0.624,     0.781,     0.030
     3.000,   394.201,   401.245,    10.000,     0.319,     0.004,     0.030
     4.000,   324.502,   104.677,    10.000,     0.044,     0.129,     0.030
     5.000,   275.473,   358.650,    10.000,     0.142,     0.085,     0.030
     6.000,   214.973,   597.617,    10.000,     0.325,     0.353,     0.030
     7.000,   599.334,   638.937,    10.000,     0.005,     0.335,     0.030
     8.000,   434.807,   178.139,    10.000,     0.728,     0.098,     0.030
     9.000,   479.949,   539.200,    10.000,     0.588,     0.631,     0.030
    10.000,   384.774,   480.937,    10.000,     0.777,     0.178,     0.030
    11.000,   379.897,   442.462,    10.000,     0.955,     0.230,     0.030
    12.000,   323.848,   502.011,    10.000,     0.015,     0.353,     0.030
    13.000,   735.833,   311.604,    10.000,     0.538,     0.844,     0.030
    14.000,   406.413,   131.132,    10.000,     0.527,     0.377,     0.030
    15.000,   744.802,   337.048,    10.000,     0.961,     0.096,     0.030
    16.000,   400.279,   725.677,    10.000,     0.382,     0.606,     0.030
    17.000,   232.092,   226.465,    10.000,     0.255,     0.375,     0.030
    18.000,   533.336,   750.107,    10.000,     0.647,     0.534,     0.030
    19.000,   209.955,   668.155,    10.000,     0.038,     0.198,     0.030
     0.000,   338.550,   254.081,    10.000,     0.160,     0.783,     0.040
     1.000,   530.160,   276.570,    10.000,     0.790,     0.065,     0.040
     2.000,   622.573,   157.648,    10.000,     0.623,     0.781,     0.040
     3.000,   394.204,   401.245,    10.000,     0.318,     0.003,     0.040
     4.000,   324.502,   104.679,    10.000,     0.044,     0.129,     0.040
     5.000,   275.474,   358.651,    10.000,     0.142,     0.084,     0.040
     6.000,   214.976,   597.621,    10.000,     0.325,     0.353,     0.040
     7.000,   599.334,   638.940,    10.000,     0.004,     0.334,     0.040
     8.000,   434.814,   178.140,    10.000,     0.727,     0.097,     0.040
     9.000,   479.954,   539.207,    10.000,     0.588,     0.631,     0.040
    10.000,   384.782,   480.939,    10.000,     0.777,     0.177,     0.040
    11.000,   379.907,   442.464,    10.000,     0.954,     0.230,     0.040
    12.000,   323.848,   502.014,    10.000,     0.015,     0.353,     0.040
    13.000,   735.839,   311.613,    10.000,     0.537,     0.843,     0.040
    14.000,   406.419,   131.136,    10.000,     0.527,     0.377,     0.040
    15.000,   744.811,   337.049,    10.000,     0.960,     0.096,     0.040
    16.000,   400.283,   725.683,    10.000,     0.381,     0.605,     0.040
    17.000,   232.095,   226.468,    10.000,     0.254,     0.374,     0.040
    18.000,   533.342,   750.112,    10.000,     0.646,     0.533,     0.040
    19.000,   209.955,   668.157,    10.000,     0.038,     0.197,     0.040
     0.000,   338.551,   254.089,    10.000,     0.160,     0.783,     0.050
     1.000,   530.168,   276.571,    10.000,     0.789,     0.065,     0.050
     2.000,   622.579,   157.656,    10.000,     0.623,     0.781,     0.050
     3.000,   394.208,   401.245,    10.000,     0.318,     0.003,     0.050
     4.000,   324.503,   104.680,    10.000,     0.044,     0.128,     0.050
     5.000,   275.475,   358.652,    10.000,     0.141,     0.084,     0.050
     6.000,   214.979,   597.624,    10.000,     0.325,     0.352,     0.050
     7.000,   599.334,   638.944,    10.000,     0.004,     0.334,     0.050
     8.000,   434.821,   178.141,    10.000,     0.727,     0.097,     0.050
     9.000,   479.960,   539.213,    10.000,     0.587,     0.630,     0.050
    10.000,   384.789,   480.941,    10.000,     0.777,     0.177,     0.050
    11.000,   379.916,   442.466,    10.000,     0.954,     0.229,     0.050
    12.000,   323.848,   502.018,    10.000,     0.015,     0.352,     0.050
    13.000,   735.844,   311.621,    10.000,     0.537,     0.843,     0.050
    14.000,   406.424,   131.139,    10.000,     0.526,     0.377,     0.050
    15.000,   744.821,   337.050,    10.000,     0.959,     0.096,     0.050
    16.000,   400.287,   725.689,    10.000,     0.381,     0.605,     0.050
    17.000,   232.097,   226.472,    10.000,     0.254,     0.374,     0.050
    18.000,   533.348,   750.117,    10.000,     0.646,     0.533,     0.050
    19.000,   209.955,   668.159,    10.000,     0.038,     0.196,     0.050
     0.000,   338.553,   254.097,    10.000,     0.159,     0.783,     0.060
     1.000,   530.176,   276.572,    10.000,     0.789,     0.064,     0.060
     2.000,   622.586,   157.663,    10.000,     0.622,     0.781,     0.060
     3.000,   394.211,   401.245,    10.000,     0.317,     0.002,     0.060
     4.000,   324.503,   104.681,    10.000,     0.043,     0.128,     0.060
     5.000,   275.477,   358.653,    10.000,     0.141,     0.084,     0.060
     6.000,   214.983,   597.628,    10.000,     0.325,     0.352,     0.060
     7.000,   599.335,   638.947,    10.000,     0.003,     0.333,     0.060
     8.000,   434.829,   178.142,    10.000,     0.726,     0.097,     0.060
     9.000,   479.966,   539.219,    10.000,     0.587,     0.629,     0.060
    10.000,   384.797,   480.943,    10.000,     0.776,     0.176,     0.060
    11.000,   379.926,   442.468,    10.000,     0.953,     0.229,     0.060
    12.000,   323.849,   502.021,    10.000,     0.014,     0.352,     0.060
    13.000,   735.849,   311.630,    10.000,     0.536,     0.842,     0.060
    14.000,   406.429,   131.143,    10.000,     0.526,     0.377,     0.060
    15.000,   744.830,   337.051,    10.000,     0.958,     0.095,     0.060
    16.000,   400.291,   725.695,    10.000,     0.380,     0.604,     0.060
    17.000,   232.100,   226.476,    10.000,     0.254,     0.374,     0.060
    18.000,   533.355,   750.123,    10.000,     0.645,     0.532,     0.060
    19.000,   209.956,   668.161,    10.000,     0.037,     0.196,     0.060
     0.000,   338.555,   254.104,    10.000,     0.159,     0.782,     0.070
     1.000,   530.184,   276.572,    10.000,     0.788,     0.064,     0.070
     2.000,   622.592,   157.671,    10.000,     0.621,     0.781,     0.070
     3.000,   394.214,   401.245,    10.000,     0.317,     0.002,     0.070
     4.000,   324.503,   104.683,    10.000,     0.043,     0.128,     0.070
     5.000,   275.478,   358.654,    10.000,     0.141,     0.083,     0.070
     6.000,   214.986,   597.631,    10.000,     0.324,     0.351,     0.070
     7.000,   599.335,   638.950,    10.000,     0.003,     0.332,     0.070
     8.000,   434.836,   178.143,    10.000,     0.726,     0.097,     0.070
     9.000,   479.972,   539.226,    10.000,     0.586,     0.629,     0.070
    10.000,   384.805,   480.944,    10.000,     0.776,     0.176,     0.070
    11.000,   379.935,   442.471,    10.000,     0.953,     0.228,     0.070
    12.000,   323.849,   502.025,    10.000,     0.014,     0.351,     0.070
    13.000,   735.855,   311.638,    10.000,     0.535,     0.842,     0.070
    14.000,   406.434,   131.147,    10.000,     0.526,     0.376,     0.070
    15.000,   744.840,   337.052,    10.000,     0.958,     0.095,     0.070
    16.000,   400.295,   725.702,    10.000,     0.380,     0.603,     0.070
    17.000,   232.102,   226.480,    10.000,     0.254,     0.374,     0.070
    18.000,   533.361,   750.128,    10.000,     0.644,     0.531,     0.070
    19.000,   209.956,   668.163,    10.000,     0.037,     0.195,     0.070
     0.000,   338.556,   254.112,    10.000,     0.159,     0.782,     0.080
     1.000,   530.192,   276.573,    10.000,     0.788,     0.064,     0.080
     2.000,   622.598,   157.679,    10.000,     0.621,     0.781,     0.080
     3.000,   394.217,   401.245,    10.000,     0.317,     0.002,     0.080
     4.000,   324.504,   104.684,    10.000,     0.043,     0.128,     0.080
     5.000,   275.480,   358.655,    10.000,     0.141,     0.083,     0.080
     6.000,   214.989,   597.635,    10.000,     0.324,     0.350,     0.080
     7.000,   599.335,   638.953,    10.000,     0.002,     0.332,     0.080
     8.000,   434.843,   178.144,    10.000,     0.726,     0.097,     0.080
     9.000,   479.978,   539.232,    10.000,     0.586,     0.628,     0.080
