id,b_1,b_2,m,v_1,v_2,t
     0.000,   395.726,   450.615,    10.000,     0.081,     0.455,     0.010
     1.000,    92.089,   401.247,    10.000,     0.718,     0.110,     0.010
     2.000,   379.073,   295.525,    10.000,     0.755,     0.496,     0.010
     3.000,   251.615,   234.352,    10.000,     0.488,     0.091,     0.010
     4.000,   515.704,   123.573,    10.000,     0.315,     0.051,     0.010
     5.000,   464.727,   638.965,    10.000,     0.289,     0.634,     0.010
     6.000,   568.341,   579.872,    10.000,     0.775,     0.037,     0.010
     7.000,   489.614,   679.747,    10.000,     0.424,     0.975,     0.010
     8.000,   380.968,   499.964,    10.000,     0.446,     0.403,     0.010
     9.000,   445.906,   730.434,    10.000,     0.597,     0.894,     0.010
    10.000,   130.514,   274.052,    10.000,     0.491,     0.738,     0.010
    11.000,   307.009,   356.336,    10.000,     0.400,     0.103,     0.010
    12.000,   681.337,   173.700,    10.000,     0.332,     0.880,     0.010
    13.000,   668.423,   422.932,    10.000,     0.569,     0.939,     0.010
    14.000,   500.514,   317.821,    10.000,     0.330,     0.825,     0.010
    15.000,   487.629,   550.760,    10.000,     0.441,     0.713,     0.010
    16.000,   514.102,   206.381,    10.000,     0.123,     0.360,     0.010
    17.000,   156.498,   709.025,    10.000,     0.062,     0.895,     0.010
    18.000,   387.047,   379.347,    10.000,     0.872,     0.089,     0.010
    19.000,   534.416,   753.577,    10.000,     0.882,     0.048,     0.010
     0.000,   395.727,   450.619,    10.000,     0.080,     0.454,     0.020
     1.000,    92.096,   401.248,    10.000,     0.718,     0.110,     0.020
     2.000,   379.081,   295.530,    10.000,     0.755,     0.496,     0.020
     3.000,   251.620,   234.353,    10.000,     0.488,     0.090,     0.020
     4.000,   515.707,   123.573,    10.000,     0.314,     0.051,     0.020
     5.000,   464.730,   638.971,    10.000,     0.288,     0.634,     0.020
     6.000,   568.348,   579.872,    10.000,     0.774,     0.037,     0.020
     7.000,   489.618,   679.757,    10.000,     0.424,     0.974,     0.020
     8.000,   380.973,   499.968,    10.000,     0.445,     0.403,     0.020
     9.000,   445.912,   730.443,    10.000,     0.597,     0.893,     0.020
    10.000,   130.519,   274.060,    10.000,     0.491,     0.737,     0.020
    11.000,   307.013,   356.337,    10.000,     0.400,     0.103,     0.020
    12.000,   681.340,   173.708,    10.000,     0.332,     0.879,     0.020
    13.000,   668.429,   422.941,    10.000,     0.568,     0.939,     0.020
    14.000,   500.517,   317.829,    10.000,     0.330,     0.824,     0.020
    15.000,   487.634,   550.767,    10.000,     0.440,     0.713,     0.020
    16.000,   514.103,   206.384,    10.000,     0.123,     0.360,     0.020
    17.000,   156.498,   709.034,    10.000,     0.062,     0.894,     0.020
    18.000,   387.056,   379.348,    10.000,     0.872,     0.089,     0.020
    19.000,   534.425,   753.577,    10.000,     0.881,     0.047,     0.020
     0.000,   395.728,   450.624,    10.000,     0.080,     0.454,     0.030
     1.000,    92.103,   401.249,    10.000,     0.718,     0.109,     0.030
     2.000,   379.088,   295.535,    10.000,     0.755,     0.496,     0.030
     3.000,   251.625,   234.354,    10.000,     0.487,     0.090,     0.030
     4.000,   515.710,   123.574,    10.000,     0.314,     0.051,     0.030
     5.000,   464.733,   638.978,    10.000,     0.288,     0.633,     0.030
     6.000,   568.356,   579.872,    10.000,     0.774,     0.036,     0.030
     7.000,   489.623,   679.766,    10.000,     0.423,     0.974,     0.030
