,id,b_1,b_2,m,v_1,v_2,t
0,0,2.266684993686786,4.24413494148942,10.0,0.0,0.0,0.0
1,1,4.8604337637239015,3.3308376634694463,10.0,0.0,0.0,0.0
2,2,5.1322991605884445,4.741199034773596,10.0,0.0,0.0,0.0
3,3,2.8742361340550064,2.7187566171948063,10.0,0.0,0.0,0.0
4,4,1.1281915556570814,4.634690157484358,10.0,0.0,0.0,0.0
5,5,7.369672458189312,9.363481824030018,10.0,0.0,0.0,0.0
6,6,9.12879433541799,7.7264253007590575,10.0,0.0,0.0,0.0
7,7,3.955523299774679,4.478777677735865,10.0,0.0,0.0,0.0
8,8,9.64119763237994,5.25798353841399,10.0,0.0,0.0,0.0
9,9,3.8277662480282015,8.383103491364876,10.0,0.0,0.0,0.0
10,10,8.288435446708462,3.8196009819954018,10.0,0.0,0.0,0.0
11,11,5.679435947982542,6.054769520774569,10.0,0.0,0.0,0.0
12,12,6.8647773642543335,3.3548071580309715,10.0,0.0,0.0,0.0
13,13,2.661379399933716,8.4829149651543,10.0,0.0,0.0,0.0
14,14,7.910912155635787,7.390027168839673,10.0,0.0,0.0,0.0
15,15,7.251998840533719,1.1402484854111017,10.0,0.0,0.0,0.0
16,16,6.314136523984328,0.558458609164922,10.0,0.0,0.0,0.0
17,17,4.699220786129959,6.799862541074965,10.0,0.0,0.0,0.0
18,18,7.316064113387464,5.510241165879231,10.0,0.0,0.0,0.0
19,19,6.129381952787839,7.1815076923887,10.0,0.0,0.0,0.0
20,20,3.6597752676941626,1.3732507048758253,10.0,0.0,0.0,0.0
21,21,3.634821088026963,6.396087083202953,10.0,0.0,0.0,0.0
22,22,5.270202394338668,8.54237407918517,10.0,0.0,0.0,0.0
23,23,6.848022299446363,4.5354080062007,10.0,0.0,0.0,0.0
24,24,5.217347612257125,1.1939965356994193,10.0,0.0,0.0,0.0
25,0,2.266684993686786,4.24413494148942,10.0,0.0,0.0,0.0
26,1,4.8604337637239015,3.3308376634694463,10.0,0.0,0.0,0.0
27,2,5.1322991605884445,4.741199034773596,10.0,0.0,0.0,0.0
28,3,2.8742361340550064,2.7187566171948063,10.0,0.0,0.0,0.0
29,4,1.1281915556570814,4.634690157484358,10.0,0.0,0.0,0.0
30,5,7.369672458189312,9.363481824030018,10.0,0.0,0.0,0.0
31,6,9.12879433541799,7.7264253007590575,10.0,0.0,0.0,0.0
32,7,3.955523299774679,4.478777677735865,10.0,0.0,0.0,0.0
33,8,9.64119763237994,5.25798353841399,10.0,0.0,0.0,0.0
34,9,3.8277662480282015,8.383103491364876,10.0,0.0,0.0,0.0
35,10,8.288435446708462,3.8196009819954018,10.0,0.0,0.0,0.0
36,11,5.679435947982542,6.054769520774569,10.0,0.0,0.0,0.0
37,12,6.8647773642543335,3.3548071580309715,10.0,0.0,0.0,0.0
38,13,2.661379399933716,8.4829149651543,10.0,0.0,0.0,0.0
39,14,7.910912155635787,7.390027168839673,10.0,0.0,0.0,0.0
40,15,7.251998840533719,1.1402484854111017,10.0,0.0,0.0,0.0
41,16,6.314136523984328,0.558458609164922,10.0,0.0,0.0,0.0
42,17,4.699220786129959,6.799862541074965,10.0,0.0,0.0,0.0
43,18,7.316064113387464,5.510241165879231,10.0,0.0,0.0,0.0
44,19,6.129381952787839,7.1815076923887,10.0,0.0,0.0,0.0
45,20,3.6597752676941626,1.3732507048758253,10.0,0.0,0.0,0.0
46,21,3.634821088026963,6.396087083202953,10.0,0.0,0.0,0.0
47,22,5.270202394338668,8.54237407918517,10.0,0.0,0.0,0.0
48,23,6.848022299446363,4.5354080062007,10.0,0.0,0.0,0.0
