,id,b_1,b_2,m,v_1,v_2,t
0,0,4.014538275189829,8.361035421141892,10.0,0.0,0.0,0.0
1,1,5.6208470803280575,3.784303025990196,10.0,0.0,0.0,0.0
2,2,0.5064864484738374,6.289179374554549,10.0,0.0,0.0,0.0
3,3,4.874935016623803,6.622282465299686,10.0,0.0,0.0,0.0
4,4,4.395752229843303,4.403356721408926,10.0,0.0,0.0,0.0
5,5,5.961928411670171,6.231020161620333,10.0,0.0,0.0,0.0
6,6,6.688891046299176,4.621389508180237,10.0,0.0,0.0,0.0
7,7,8.56683500939381,5.5134160124245115,10.0,0.0,0.0,0.0
8,8,7.603174091334731,6.099585884058303,10.0,0.0,0.0,0.0
9,9,2.721738680052899,8.653732464632423,10.0,0.0,0.0,0.0
10,10,5.19821155926393,2.6492954773920974,10.0,0.0,0.0,0.0
11,11,0.37785888557066816,4.052048402791714,10.0,0.0,0.0,0.0
12,12,6.022704219510283,7.320934443144702,10.0,0.0,0.0,0.0
13,13,8.989299446332211,7.82983569756433,10.0,0.0,0.0,0.0
14,14,4.134107178007987,5.935316305598714,10.0,0.0,0.0,0.0
15,0,4.014538275189829,8.361035421141892,10.0,0.0,0.0,0.0
16,1,5.6208470803280575,3.784303025990196,10.0,0.0,0.0,0.0
17,2,0.5064864484738374,6.289179374554549,10.0,0.0,0.0,0.0
18,3,4.874935016623803,6.622282465299686,10.0,0.0,0.0,0.0
19,4,4.395752229843303,4.403356721408926,10.0,0.0,0.0,0.0
20,5,5.961928411670171,6.231020161620333,10.0,0.0,0.0,0.0
21,6,6.688891046299176,4.621389508180237,10.0,0.0,0.0,0.0
22,7,8.56683500939381,5.5134160124245115,10.0,0.0,0.0,0.0
23,8,7.603174091334731,6.099585884058303,10.0,0.0,0.0,0.0
24,9,2.721738680052899,8.653732464632423,10.0,0.0,0.0,0.0
25,10,5.19821155926393,2.6492954773920974,10.0,0.0,0.0,0.0
26,11,0.37785888557066816,4.052048402791714,10.0,0.0,0.0,0.0
27,12,6.022704219510283,7.320934443144702,10.0,0.0,0.0,0.0
28,13,8.989299446332211,7.82983569756433,10.0,0.0,0.0,0.0
29,14,4.134107178007987,5.935316305598714,10.0,0.0,0.0,0.0
