,b_1,b_2,m,v_1,v_2,t,id
0,2.9636269995292963,0.6525625965806485,10.0,0.0,0.0,0.0,
1,4.951558454773443,5.185730724315361,10.0,0.0,0.0,0.0,
2,4.933664986411464,0.3515138085330225,10.0,0.0,0.0,0.0,
3,1.0284173100247207,6.695994989211511,10.0,0.0,0.0,0.0,
4,5.6847007616161935,5.934273210011609,10.0,0.0,0.0,0.0,
5,6.5977880715241675,6.939301841325202,10.0,0.0,0.0,0.0,
6,4.275653426383125,3.951255518740088,10.0,0.0,0.0,0.0,
7,2.9247794513641328,5.248320658689131,10.0,0.0,0.0,0.0,
8,5.8980187210333535,2.5875402134828307,10.0,0.0,0.0,0.0,
9,6.509749498384908,4.451889172957887,10.0,0.0,0.0,0.0,
10,0.816024400942986,3.290392701692891,10.0,0.0,0.0,0.0,
11,2.4866775245470545,3.3023827665820606,10.0,0.0,0.0,0.0,
12,2.4222556270601143,6.735732829476763,10.0,0.0,0.0,0.0,
13,2.8054409153374817,1.7200652291511567,10.0,0.0,0.0,0.0,
14,4.468941062820125,6.437068548062939,10.0,0.0,0.0,0.0,
15,2.9636269995292963,0.6525625965806485,10.0,0.0,0.0,0.0,0.0
16,4.951558454773443,5.185730724315361,10.0,0.0,0.0,0.0,1.0
17,4.933664986411464,0.3515138085330225,10.0,0.0,0.0,0.0,2.0
18,1.0284173100247207,6.695994989211511,10.0,0.0,0.0,0.0,3.0
19,5.6847007616161935,5.934273210011609,10.0,0.0,0.0,0.0,4.0
20,6.5977880715241675,6.939301841325202,10.0,0.0,0.0,0.0,5.0
21,4.275653426383125,3.951255518740088,10.0,0.0,0.0,0.0,6.0
22,2.9247794513641328,5.248320658689131,10.0,0.0,0.0,0.0,7.0
23,5.8980187210333535,2.5875402134828307,10.0,0.0,0.0,0.0,8.0
24,6.509749498384908,4.451889172957887,10.0,0.0,0.0,0.0,9.0
25,0.816024400942986,3.290392701692891,10.0,0.0,0.0,0.0,10.0
26,2.4866775245470545,3.3023827665820606,10.0,0.0,0.0,0.0,11.0
27,2.4222556270601143,6.735732829476763,10.0,0.0,0.0,0.0,12.0
28,2.8054409153374817,1.7200652291511567,10.0,0.0,0.0,0.0,13.0
29,4.468941062820125,6.437068548062939,10.0,0.0,0.0,0.0,14.0
30,2.9632531672070757,0.6571929294786109,10.0,-0.037383232222080544,0.4630332897962379,0.1,0.0
31,4.9524579199104615,5.188779624876446,10.0,0.08994651370184839,0.3048900561085069,0.1,1.0
32,4.933322541180068,0.35171020192290076,10.0,-0.034244523139596375,0.019639338987824568,0.1,2.0
33,1.030876435182183,6.695970390263444,10.0,0.24591251574624026,-0.002459894806655404,0.1,3.0
34,5.681324025685007,5.934005876498797,10.0,-0.33767359311867834,-0.02673335128120502,0.1,4.0
