,b_1,b_2,m,v_1,v_2,t
0,6.6403955392986225,5.008960701581826,10.0,0.0,0.0,0.0
1,0.37753522407628637,3.580932152873187,10.0,0.0,0.0,0.0
2,7.451434795879727,7.096272865934402,10.0,0.0,0.0,0.0
3,1.7158180983110989,2.6034805782450556,10.0,0.0,0.0,0.0
4,8.812350614342044,2.0062993375047986,10.0,0.0,0.0,0.0
5,3.357224507837012,6.20496458970867,10.0,0.0,0.0,0.0
6,5.364312309156229,4.983995667500152,10.0,0.0,0.0,0.0
7,4.92295217720402,3.9877353387606327,10.0,0.0,0.0,0.0
8,8.036525596719041,2.988629397695768,10.0,0.0,0.0,0.0
9,1.9859513699542921,5.120360632196714,10.0,0.0,0.0,0.0
10,3.924724740494369,1.2481810657320849,10.0,0.0,0.0,0.0
11,6.87010413473634,2.123131988131828,10.0,0.0,0.0,0.0
12,4.740652651116081,6.059856219077026,10.0,0.0,0.0,0.0
13,4.880883290148977,8.274148302556132,10.0,0.0,0.0,0.0
14,5.995387579213809,0.48424394749189137,10.0,0.0,0.0,0.0
15,6.6403955392986225,5.008960701581826,10.0,0.0,0.0,0.0
16,0.37753522407628637,3.580932152873187,10.0,0.0,0.0,0.0
17,7.451434795879727,7.096272865934402,10.0,0.0,0.0,0.0
18,1.7158180983110989,2.6034805782450556,10.0,0.0,0.0,0.0
19,8.812350614342044,2.0062993375047986,10.0,0.0,0.0,0.0
20,3.357224507837012,6.20496458970867,10.0,0.0,0.0,0.0
21,5.364312309156229,4.983995667500152,10.0,0.0,0.0,0.0
22,4.92295217720402,3.9877353387606327,10.0,0.0,0.0,0.0
23,8.036525596719041,2.988629397695768,10.0,0.0,0.0,0.0
24,1.9859513699542921,5.120360632196714,10.0,0.0,0.0,0.0
25,3.924724740494369,1.2481810657320849,10.0,0.0,0.0,0.0
26,6.87010413473634,2.123131988131828,10.0,0.0,0.0,0.0
27,4.740652651116081,6.059856219077026,10.0,0.0,0.0,0.0
28,4.880883290148977,8.274148302556132,10.0,0.0,0.0,0.0
29,5.995387579213809,0.48424394749189137,10.0,0.0,0.0,0.0
30,6.636505961559197,5.0088629250662375,10.0,-0.3889577739425124,-0.009777651558841367,0.1
31,0.37840702524782355,3.5805054965822705,10.0,0.08718011715372032,-0.04266562909164445,0.1
32,7.4512837897634245,7.096098576147755,10.0,-0.015100611630266311,-0.017428978664765598,0.1
33,1.7151602746050143,2.604075508136967,10.0,-0.06578237060845521,0.0594929891911361,0.1
34,8.809577212520246,2.00934207155499,10.0,-0.2773401821798984,0.3042734050191581,0.1
35,3.359241487404158,6.204236960389113,10.0,0.2016979567145687,-0.0727629319556942,0.1
36,5.363861288440208,4.983143972230693,10.0,-0.045102071602099295,-0.08516952694589632,0.1
37,4.925134764910533,3.992504127516212,10.0,0.21825877065128074,0.47687887555793057,0.1
38,8.03728592209556,2.984555824973966,10.0,0.07603253765188907,-0.40735727218021456,0.1
39,1.986426335576555,5.120593671861537,10.0,0.047496562226300144,0.02330396648225419,0.1
40,3.9248660691333916,1.2482084102601017,10.0,0.014132863902302778,0.002734452801675075,0.1
41,6.87169565298462,2.1239088236176515,10.0,0.1591518248280607,0.07768354858239143,0.1
42,4.740463013571217,6.056515164058778,10.0,-0.018963754486345283,-0.33410550182474874,0.1
43,4.880870882337415,8.273882036310361,10.0,-0.001240781156092247,-0.02662662457697202,0.1
44,5.995472948338585,0.4847592162835337,10.0,0.008536912477546834,0.051526879164231855,0.1
45,6.628677608101925,5.008662424784596,10.0,-0.7828353457272548,-0.02005002816409951,0.2
46,0.38015521577496986,3.5796487001327986,10.0,0.1748190527146286,-0.08567964494720279,0.2
47,7.450981809861647,7.0957505997630586,10.0,-0.0301979901778011,-0.03479763846966101,0.2
48,1.7138397951458195,2.6052689351902076,10.0,-0.13204794591947056,0.11934270532405172,0.2
49,8.80396358743487,2.015497304020964,10.0,-0.5613625085376011,0.6155232465973628,0.2
50,3.3632930751524928,6.2027758449166335,10.0,0.40515877483350593,-0.14611154724791914,0.2
51,5.363019070485564,4.981547981488744,10.0,-0.08422179546441458,-0.1595990741949832,0.2
52,4.929467975599404,4.0019696549655075,10.0,0.4333210688870882,0.9465527449295013,0.2
53,8.03884649062412,2.9763265094360927,10.0,0.1560568528560255,-0.8229315537873225,0.2
54,1.9873758241867103,5.121058386526363,10.0,0.09494886101553376,0.04647146648263638,0.2
55,3.925148787009069,1.248262702418665,10.0,0.028271787567750346,0.005429215856327205,0.2
56,6.874906853028768,2.125475002846548,10.0,0.32112000441477423,0.1566179228896445,0.2
57,4.740087090001714,6.049809602121796,10.0,-0.03759235695035679,-0.6705561936982081,0.2
58,4.880846129476533,8.273350687097775,10.0,-0.0024752860883050986,-0.0531349212586721,0.2
59,5.995643316604344,0.48578844928041914,10.0,0.017036826575897557,0.10292329968854497,0.2
60,6.616809650168429,5.008349146276002,10.0,-1.1867957933495505,-0.03132785085939576,0.30000000000000004
61,0.3827891021243143,3.578354699280891,10.0,0.2633886349344428,-0.12940008519075924,0.30000000000000004
62,7.450528922149123,7.095230147624848,10.0,-0.04528877125239663,-0.05204521382106382,0.30000000000000004
63,1.7118468694006905,2.607068091734909,10.0,-0.19929257451289445,0.1799156544701493,0.30000000000000004
64,8.795373944060152,2.024905235701582,10.0,-0.858964337471841,0.9407931680618411,0.30000000000000004
65,3.36941480093235,6.200569226384402,10.0,0.6121725779857561,-0.22066185322321746,0.30000000000000004
66,5.361931970820507,4.97948146791068,10.0,-0.1087099665056901,-0.2066513578063643,0.30000000000000004
67,4.9358624684698675,4.01592995505001,10.0,0.6394492870464119,1.3960300084502164,0.30000000000000004
68,8.041287716458847,2.963776215286199,10.0,0.24412258347256377,-1.2550294149893706,0.30000000000000004
69,1.9887989241170156,5.121752030286038,10.0,0.1423099930305253,0.06936437596754377,0.30000000000000004
70,3.925573020252107,1.2483431644111265,10.0,0.042423324303803696,0.008046199246149749,0.30000000000000004
71,6.879795626101195,2.1278558176269167,10.0,0.4888773072427761,0.2380814780368553,0.30000000000000004
72,4.73953252518836,6.039691981431609,10.0,-0.05545648133535387,-1.0117620690186424,0.30000000000000004
73,4.880809156759396,8.272556588622104,10.0,-0.003697271713709083,-0.07940984756709009,0.30000000000000004
74,5.995897931485596,0.4873290173628506,10.0,0.025461488125156077,0.1540568082431485,0.30000000000000004
75,6.60074455640148,5.007907812276011,10.0,-1.6065093766949108,-0.04413339999902686,0.4
76,0.38632297708576585,3.576612650509378,10.0,0.353387496145159,-0.1742048771513206,0.4
77,7.4499252268576335,7.094539045045657,10.0,-0.060369529148896206,-0.06911025791909897,0.4
78,1.7091664880931419,2.60948407673807,10.0,-0.26803813075487565,0.24159850031609276,0.4
79,8.783603285843386,2.0377724595496707,10.0,-1.1770658216767114,1.286722384808825,0.4
80,3.3776606205431903,6.197598308011594,10.0,0.8245819610840353,-0.29709183728076544,0.4
81,5.360894351826613,4.9775216692037185,10.0,-0.1037618993893552,-0.1959798706961152,0.4
82,4.94411232315668,4.033918177313856,10.0,0.8249854686812121,1.79882222638462,0.4
83,8.04472745184386,2.946660272160867,10.0,0.34397353850129087,-1.7115943125331863,0.4
84,1.9906942014597822,5.122670443300027,10.0,0.18952773427665873,0.09184130139890015,0.4
85,3.9261389709640246,1.2484486711014966,10.0,0.056595071191778056,0.01055066903701356,0.4
86,6.886452857000799,2.1310898587445255,10.0,0.6657230899602817,0.32340411176087064,0.4
87,4.7388135331695045,6.0260892544035904,10.0,-0.0718992018855338,-1.360272702801846,0.4
88,4.880760151595641,8.271503159011646,10.0,-0.004900516375438451,-0.10534296104574023,0.4
89,5.9962356326464485,0.4893769276200584,10.0,0.03377011608530556,0.20479102572077815,0.4
90,6.580260192185469,5.007318426896123,10.0,-2.0484364216010853,-0.05893853798883737,0.5
91,0.39077654224929564,3.574407617377351,10.0,0.44535651635297757,-0.2205033132026817,0.5
92,7.4491708536679475,7.093679736031138,10.0,-0.07543731896863673,-0.08593090145187739,0.5
93,1.705778013616528,2.612532173770571,10.0,-0.33884744766139163,0.30480970325010964,0.5
94,8.7683944443978,2.05434396405639,10.0,-1.5208841445585821,1.6571504506719381,0.5
95,3.3881036421430712,6.19383655311662,10.0,1.044302159988087,-0.3761754894974251,0.5
96,5.360454364375945,4.976787019382664,10.0,-0.0439987450668052,-0.07346498210542735,0.5
97,4.9537921239876965,4.054967485506299,10.0,0.9679800831016595,2.1049308192443186,0.5
98,8.049298681527292,2.9246820486217358,10.0,0.45712296834314947,-2.1978223539131188,0.5
99,1.993059619212668,5.123808003866933,10.0,0.23654177528858636,0.11375605669055103,0.5
100,3.9268469343374655,1.2485778043861748,10.0,0.07079633734408182,0.012913328467820607,0.5
101,6.895007664543501,2.135229690249388,10.0,0.8554807542702424,0.4139831504862661,0.5
102,4.737955374101289,6.008900694801075,10.0,-0.0858159068215238,-1.7188559602515603,0.5
103,4.880699364526763,8.270194800780923,10.0,-0.006078706887805705,-0.1308358230723143,0.5
104,5.996654813615219,0.4919267661467808,10.0,0.041918096877046035,0.25498385267223894,0.5
105,6.555060073240367,5.006558738253122,10.0,-2.5200118945102314,-0.07596886430006036,0.6
106,0.39617551178091687,3.571720121971453,10.0,0.5398969531621209,-0.26874954058978306,0.6
107,7.4482659430531575,7.092655276085297,10.0,-0.09049106147899863,-0.10244599458418355,0.6
108,1.7016545956962563,2.6162323058772468,10.0,-0.4123417920271504,0.3700132106675469,0.6
109,8.749526618966232,2.0747864907680427,10.0,-1.8867825431566694,2.044252671165257,0.6
110,3.400836952788988,6.189248358054487,10.0,1.2733310645916731,-0.4588195062133335,0.6
111,5.3615382241848675,4.9792207089298035,10.0,0.10838598089225174,0.24336895471390924,0.6
112,4.9641338703737565,4.077328530877318,10.0,1.0341746386060258,2.2361045371018964,0.6
113,8.055053324600943,2.8976090895535296,10.0,0.575464307364997,-2.707295906820623,0.6
114,1.995892427622693,5.125157566582696,10.0,0.28328084100250817,0.13495627157632697,0.6
115,3.927697324063943,1.2487289327658473,10.0,0.08503897264777169,0.015112837967255877,0.6
116,6.905635000504405,2.14034255522495,10.0,1.062733596090426,0.5112864975561927,0.6
117,4.737002278879319,5.9879957202451255,10.0,-0.09530952219697827,-2.0904974555949773,0.6
118,4.880627113009324,8.268636764814513,10.0,-0.007225151743926319,-0.1558035966409791,0.6
119,5.997153369722781,0.49497162498673636,10.0,0.049855610756179586,0.30448588399555543,0.6
120,6.524769000085762,5.005611289218235,10.0,-3.029107315460469,-0.09474490348867404,0.7
121,0.40255243757992537,3.568525531374754,10.0,0.6376925799008492,-0.31945905966989674,0.7
122,7.447210602508181,7.09146930101256,10.0,-0.10553405449761485,-0.11859750727368953,0.7
123,1.6967623732788317,2.620609657804512,10.0,-0.4892222417424606,0.4377351927265392,0.7
124,8.727169883305551,2.098761931357103,10.0,-2.235673566068139,2.397544058906065,0.7
125,3.4159743565497505,6.1837873399307535,10.0,1.5137403760762353,-0.5461018123733127,0.7
126,5.365431081303226,4.987561149041641,10.0,0.38928571183591787,0.8340440111837091,0.7
127,4.9740385225572075,4.098491222611886,10.0,0.9904652183451054,2.1162691734568675,0.7
128,8.061597272291586,2.865699286192236,10.0,0.6543947690643793,-3.1909803361293774,0.7
129,1.999189025180625,5.126710388561136,10.0,0.32965975579319823,0.15528219784402045,0.7
130,3.9286907066495207,1.2489003176495383,10.0,0.09933825855775119,0.01713848836910484,0.7
131,6.9185660018396655,2.1465110700914973,10.0,1.293100133526104,0.616851486654753,0.7
132,4.736028944184743,5.96321630920163,10.0,-0.09733346945761139,-2.477941104349574,0.7
133,4.88054379037408,8.26683497573733,10.0,-0.008332263524398061,-0.18017890771824913,0.7
134,5.997728630799293,0.4985030152053535,10.0,0.057526107651151966,0.353139021861715,0.7
135,6.488966866700003,5.004478318838902,10.0,-3.5802133385758474,-0.11329703793335485,0.7999999999999999
136,0.4099478134306418,3.564793235813756,10.0,0.7395375850716406,-0.373229556099814,0.7999999999999999
137,7.446004832978764,7.090125961713434,10.0,-0.12057695294180698,-0.13433392991256574,0.7999999999999999
138,1.6910594027195187,2.6256955088206464,10.0,-0.570297055931307,0.5085851016134282,0.7999999999999999
139,8.703177254348907,2.1239657898402133,10.0,-2.399262895664514,2.5203858483110237,0.7999999999999999
140,3.433650714332403,6.1773942386441325,10.0,1.7676357782652816,-0.639310128662133,0.7999999999999999
141,5.373272934858143,5.004254619652343,10.0,0.7841853554916665,1.6693470610702716,0.7999999999999999
142,4.982539402272771,4.116234920914462,10.0,0.8500879715562859,1.7743698302575737,0.7999999999999999
143,8.066784911691002,2.8311612300409315,10.0,0.5187639399415871,-3.4538056151304564,0.7999999999999999
144,2.002944793594197,5.128456047600215,10.0,0.3755768413571871,0.17456590390785592,0.7999999999999999
145,3.9298278396862107,1.2490902321356607,10.0,0.11371330366899945,0.018991448612243646,0.7999999999999999
146,6.9341012129397885,2.1538347772220323,10.0,1.5535211100122872,0.7323707130534857,0.7999999999999999
147,4.735147493512946,5.934401320356882,10.0,-0.08814506717975815,-2.8814988844747873,0.7999999999999999
148,4.880449881211787,8.26479581918341,10.0,-0.00939091622934064,-0.20391565539192738,0.7999999999999999
149,5.99837727421087,0.5025107642131451,10.0,0.06486434115763823,0.40077490077915645,0.7999999999999999
150,6.447380820995385,5.003200799552033,10.0,-4.158604570461742,-0.12775192868688995,0.8999999999999999
151,0.4184115397824385,3.560485556852446,10.0,0.8463726351796695,-0.43076789613102473,0.8999999999999999
152,7.444648450594638,7.0886298318461085,10.0,-0.13563823841260497,-0.14961298673249107,0.8999999999999999
153,1.684494220445887,2.6315283364571305,10.0,-0.6565182273631676,0.5832827636483984,0.8999999999999999
154,8.684812525612521,2.1421928459470383,10.0,-1.8364728736385492,1.8227056106825144,0.8999999999999999
155,3.4540215357291966,6.1699944430419125,10.0,2.0370821396793466,-0.7399795602219963,0.8999999999999999
156,5.385100834254072,5.029522043914984,10.0,1.1827899395928816,2.526742426264007,0.8999999999999999
157,4.989603221905504,4.13045136169939,10.0,0.7063819632733952,1.421644078492797,0.8999999999999999
158,8.06297559529262,2.8020811003713066,10.0,-0.38093163983822076,-2.9080129669624712,0.8999999999999999
159,2.0071539198473163,5.130382361032007,10.0,0.4209126253119489,0.192631343179206,0.8999999999999999
160,3.931109697247003,1.249297044488212,10.0,0.12818575607922778,0.02068123525513053,0.8999999999999999
161,6.952625925346582,2.162438219933951,10.0,1.8524712406792903,0.8603442711918509,0.8999999999999999
162,4.734473161044437,5.9014800554494915,10.0,-0.06743324685090862,-3.292126490739013,0.8999999999999999
163,4.880345979018048,8.262525902497071,10.0,-0.01039021937384826,-0.22699166863396242,0.8999999999999999
164,5.9990952013723025,0.5069828819070845,10.0,0.07179271614328196,0.44721176939394514,0.8999999999999999
165,6.400608388009328,5.0018408126391405,10.0,-4.677243298605735,-0.13599869128929146,0.9999999999999999
166,0.42800486540958405,3.555556297727442,10.0,0.9593325627145539,-0.4929259125003792,0.9999999999999999
167,7.443141062100561,7.086985800676742,10.0,-0.1507388494077001,-0.16440311693668058,0.9999999999999999
168,1.6770039107665544,2.6381552774708683,10.0,-0.7490309679332671,0.6626941013737866,0.9999999999999999
