,id,b_1,b_2,m,v_1,v_2,t
0,0,5.095121819244362,9.464738933404242,10.0,0.0,0.0,0.0
1,1,5.019328036143505,4.894479855647956,10.0,0.0,0.0,0.0
2,2,2.081169612751261,3.759411878774033,10.0,0.0,0.0,0.0
3,3,5.618852040614325,6.53543806922378,10.0,0.0,0.0,0.0
4,4,3.785069110317038,5.44039438352444,10.0,0.0,0.0,0.0
5,5,9.036037857202066,6.948987901600168,10.0,0.0,0.0,0.0
6,6,5.084031425310004,1.4510265629292243,10.0,0.0,0.0,0.0
7,7,6.600613280274912,4.511991592158385,10.0,0.0,0.0,0.0
8,8,2.8237038280513547,8.135731950842093,10.0,0.0,0.0,0.0
9,9,8.69703200976237,5.124393451525713,10.0,0.0,0.0,0.0
10,10,4.757717267740059,7.3519083391355675,10.0,0.0,0.0,0.0
11,11,1.8651215823663367,6.2060895721092235,10.0,0.0,0.0,0.0
12,12,5.553201310919377,3.4676954169638696,10.0,0.0,0.0,0.0
13,13,7.60199239499078,6.473946465836027,10.0,0.0,0.0,0.0
14,14,7.354873863466921,1.251929955429234,10.0,0.0,0.0,0.0
15,0,5.095121819244362,9.464738933404242,10.0,0.0,0.0,0.0
16,1,5.019328036143505,4.894479855647956,10.0,0.0,0.0,0.0
17,2,2.081169612751261,3.759411878774033,10.0,0.0,0.0,0.0
18,3,5.618852040614325,6.53543806922378,10.0,0.0,0.0,0.0
19,4,3.785069110317038,5.44039438352444,10.0,0.0,0.0,0.0
20,5,9.036037857202066,6.948987901600168,10.0,0.0,0.0,0.0
21,6,5.084031425310004,1.4510265629292243,10.0,0.0,0.0,0.0
22,7,6.600613280274912,4.511991592158385,10.0,0.0,0.0,0.0
23,8,2.8237038280513547,8.135731950842093,10.0,0.0,0.0,0.0
24,9,8.69703200976237,5.124393451525713,10.0,0.0,0.0,0.0
25,10,4.757717267740059,7.3519083391355675,10.0,0.0,0.0,0.0
26,11,1.8651215823663367,6.2060895721092235,10.0,0.0,0.0,0.0
27,12,5.553201310919377,3.4676954169638696,10.0,0.0,0.0,0.0
28,13,7.60199239499078,6.473946465836027,10.0,0.0,0.0,0.0
29,14,7.354873863466921,1.251929955429234,10.0,0.0,0.0,0.0
