id,b_1,b_2,m,v_1,v_2,t
     0.000,   592.016,   505.540,    10.000,     0.933,     0.585,     0.010
     1.000,   366.838,    24.743,    10.000,     0.238,     0.317,     0.010
     2.000,   114.036,   229.664,    10.000,     0.931,     0.269,     0.010
     3.000,   402.554,   399.126,    10.000,     0.026,     0.956,     0.010
     4.000,   379.028,   362.097,    10.000,     0.401,     0.840,     0.010
     5.000,   344.873,   322.701,    10.000,     0.109,     0.796,     0.010
     6.000,   722.179,   531.135,    10.000,     0.236,     0.436,     0.010
     7.000,   386.540,    57.224,    10.000,     0.363,     0.040,     0.010
     8.000,   460.838,   728.888,    10.000,     0.912,     0.267,     0.010
     9.000,   332.871,   457.560,    10.000,     0.133,     0.616,     0.010
    10.000,   371.405,   628.605,    10.000,     0.310,     0.971,     0.010
    11.000,   550.597,   601.503,    10.000,     0.270,     0.512,     0.010
    12.000,   121.434,   167.936,    10.000,     0.545,     0.971,     0.010
    13.000,   409.859,   206.897,    10.000,     0.997,     0.947,     0.010
    14.000,   189.699,   653.483,    10.000,     0.590,     0.966,     0.010
    15.000,   616.677,   695.638,    10.000,     0.910,     0.207,     0.010
    16.000,   331.985,   291.070,    10.000,     0.027,     0.382,     0.010
    17.000,   135.854,   262.592,    10.000,     0.684,     0.384,     0.010
    18.000,   523.330,    94.461,    10.000,     0.218,     0.215,     0.010
    19.000,   318.676,   143.207,    10.000,     0.735,     0.774,     0.010
     0.000,   592.025,   505.545,    10.000,     0.932,     0.585,     0.020
     1.000,   366.841,    24.746,    10.000,     0.237,     0.317,     0.020
     2.000,   114.045,   229.667,    10.000,     0.931,     0.268,     0.020
     3.000,   402.554,   399.135,    10.000,     0.026,     0.956,     0.020
     4.000,   379.032,   362.105,    10.000,     0.400,     0.840,     0.020
     5.000,   344.874,   322.708,    10.000,     0.109,     0.796,     0.020
     6.000,   722.182,   531.139,    10.000,     0.236,     0.436,     0.020
     7.000,   386.544,    57.224,    10.000,     0.362,     0.040,     0.020
     8.000,   460.847,   728.891,    10.000,     0.911,     0.267,     0.020
     9.000,   332.873,   457.566,    10.000,     0.133,     0.616,     0.020
    10.000,   371.408,   628.615,    10.000,     0.310,     0.970,     0.020
    11.000,   550.599,   601.508,    10.000,     0.269,     0.512,     0.020
    12.000,   121.439,   167.946,    10.000,     0.544,     0.971,     0.020
    13.000,   409.869,   206.906,    10.000,     0.996,     0.947,     0.020
    14.000,   189.704,   653.493,    10.000,     0.589,     0.966,     0.020
    15.000,   616.686,   695.640,    10.000,     0.909,     0.206,     0.020
    16.000,   331.985,   291.074,    10.000,     0.027,     0.382,     0.020
    17.000,   135.861,   262.596,    10.000,     0.684,     0.384,     0.020
    18.000,   523.332,    94.464,    10.000,     0.217,     0.215,     0.020
    19.000,   318.684,   143.215,    10.000,     0.734,     0.774,     0.020
     0.000,   592.034,   505.551,    10.000,     0.931,     0.584,     0.030
     1.000,   366.843,    24.749,    10.000,     0.237,     0.317,     0.030
     2.000,   114.054,   229.670,    10.000,     0.931,     0.268,     0.030
     3.000,   402.554,   399.145,    10.000,     0.025,     0.955,     0.030
     4.000,   379.036,   362.113,    10.000,     0.400,     0.840,     0.030
     5.000,   344.875,   322.716,    10.000,     0.108,     0.795,     0.030
     6.000,   722.184,   531.143,    10.000,     0.235,     0.435,     0.030
     7.000,   386.547,    57.225,    10.000,     0.362,     0.040,     0.030
     8.000,   460.856,   728.894,    10.000,     0.911,     0.266,     0.030
     9.000,   332.874,   457.572,    10.000,     0.132,     0.615,     0.030
    10.000,   371.411,   628.624,    10.000,     0.310,     0.970,     0.030
    11.000,   550.602,   601.513,    10.000,     0.269,     0.511,     0.030
    12.000,   121.445,   167.956,    10.000,     0.544,     0.971,     0.030
    13.000,   409.879,   206.916,    10.000,     0.996,     0.947,     0.030
    14.000,   189.710,   653.502,    10.000,     0.589,     0.965,     0.030
    15.000,   616.695,   695.642,    10.000,     0.908,     0.205,     0.030
    16.000,   331.985,   291.077,    10.000,     0.026,     0.382,     0.030
    17.000,   135.868,   262.600,    10.000,     0.684,     0.383,     0.030
    18.000,   523.335,    94.466,    10.000,     0.217,     0.215,     0.030
    19.000,   318.691,   143.223,    10.000,     0.734,     0.773,     0.030
     0.000,   592.044,   505.557,    10.000,     0.931,     0.584,     0.040
     1.000,   366.845,    24.752,    10.000,     0.237,     0.317,     0.040
     2.000,   114.064,   229.672,    10.000,     0.931,     0.268,     0.040
     3.000,   402.555,   399.154,    10.000,     0.025,     0.955,     0.040
     4.000,   379.040,   362.122,    10.000,     0.399,     0.839,     0.040
     5.000,   344.876,   322.724,    10.000,     0.108,     0.795,     0.040
     6.000,   722.187,   531.148,    10.000,     0.234,     0.435,     0.040
     7.000,   386.551,    57.225,    10.000,     0.362,     0.040,     0.040
     8.000,   460.865,   728.896,    10.000,     0.911,     0.265,     0.040
     9.000,   332.875,   457.578,    10.000,     0.132,     0.615,     0.040
    10.000,   371.414,   628.634,    10.000,     0.309,     0.969,     0.040
    11.000,   550.605,   601.518,    10.000,     0.268,     0.510,     0.040
    12.000,   121.450,   167.965,    10.000,     0.544,     0.971,     0.040
    13.000,   409.889,   206.925,    10.000,     0.996,     0.946,     0.040
    14.000,   189.716,   653.512,    10.000,     0.589,     0.964,     0.040
    15.000,   616.704,   695.644,    10.000,     0.908,     0.205,     0.040
    16.000,   331.986,   291.081,    10.000,     0.026,     0.381,     0.040
    17.000,   135.875,   262.604,    10.000,     0.683,     0.383,     0.040
    18.000,   523.337,    94.468,    10.000,     0.216,     0.214,     0.040
